AuthorID,Author,Date,Content,Attachments,Reactions
584029300328497152,damadestxdmt,11/02/2021 11:59 PM,Anyone got an idea how I can make a knife that poisons players?,,🤣 (1)
584029300328497152,damadestxdmt,11/02/2021 11:59 PM,Or makes them laugh a little hahaha,,
259167640377884673,dzr_mikhail,11/03/2021 2:57 AM,"Found it. Thanks to @Jacob_Mango and his Enscript repository.

```c
if( input.LocalHold(""UAUIQuickbarToggle"",false) )            {                if( !m_QuickbarHold )                {                    m_QuickbarHold = true;                    SetActionDownTime( GetGame().GetTime() );                    //m_Hud.ShowHudPlayer( m_Hud.IsHideHudPlayer() );
                m_Hud.ShowHud( !m_Hud.GetHudState() );                }            }                        if( input.LocalRelease(""UAUIQuickbarToggle"",false) )            {                if( !m_QuickbarHold )                    m_Hud.ShowQuickbarPlayer( m_Hud.IsHideQuickbarPlayer() );                m_QuickbarHold = false;            }
```",,👍 (1)
173448803578281984,inkihh,11/03/2021 9:21 AM,"I'm trying to get all buildings in the vicinity, but most buildings only return House as ClassName. How can I get the most specific ClassName?",,
150883360019972096,hunterzcz,11/03/2021 9:25 AM,you can check p3d model name,,
173448803578281984,inkihh,11/03/2021 9:25 AM,"how, from script?",,
150883360019972096,hunterzcz,11/03/2021 9:26 AM,yes there are some methods for that,,
173448803578281984,inkihh,11/03/2021 9:27 AM,even better would it be to have to a method to get the building object a player is inside right now,,
173448803578281984,inkihh,11/03/2021 9:27 AM,I have seen IsInsideBuilding(),,
173448803578281984,inkihh,11/03/2021 9:28 AM,GetGame().GetModelName(),,
150883360019972096,hunterzcz,11/03/2021 9:32 AM,just do raycast half meter under player when is inside building to get that name,,
150883360019972096,hunterzcz,11/03/2021 9:32 AM,why you need know building name?,,
173448803578281984,inkihh,11/03/2021 9:33 AM,I want to do stuff with it,,
150883360019972096,hunterzcz,11/03/2021 9:33 AM,maybe you can try using EOnTouch,,
150883360019972096,hunterzcz,11/03/2021 9:33 AM,its probably return house object too,,
150883360019972096,hunterzcz,11/03/2021 9:34 AM,but not sure,,
173448803578281984,inkihh,11/03/2021 9:37 AM,GetModelName() seems to be good enough,,
173448803578281984,inkihh,11/03/2021 9:51 AM,How do I get all of an entity's components? why am I so stupid?,,
173448803578281984,inkihh,11/03/2021 9:51 AM,please don't answer the second question 😉,,
173448803578281984,inkihh,11/03/2021 9:53 AM,hmm maybe FindComponent(),,
173448803578281984,inkihh,11/03/2021 9:58 AM,"ok there's m_ComponentsBank in EntityAI, but it's private, and there's no GetComponents()",,
173448803578281984,inkihh,11/03/2021 10:02 AM,All I'm trying to achieve is to close all of a building's doors btw,,
150883360019972096,hunterzcz,11/03/2021 10:09 AM,just check door index,,
173448803578281984,inkihh,11/03/2021 10:10 AM,but how do I list them? it may have multiple doors,,
150883360019972096,hunterzcz,11/03/2021 10:10 AM,```building.GetDoorIndex```,,
173448803578281984,inkihh,11/03/2021 10:10 AM,for which I need a componentindex,,
173448803578281984,inkihh,11/03/2021 10:11 AM,so I figured I must get all components,,
173448803578281984,inkihh,11/03/2021 10:11 AM,and iterate them,,
150883360019972096,hunterzcz,11/03/2021 10:11 AM,yes,,
173448803578281984,inkihh,11/03/2021 10:11 AM,so how do I get all of an entity's components? 😉,,
150883360019972096,hunterzcz,11/03/2021 10:15 AM,"```proto native owned int GetActionComponentNameList(int componentIndex, TStringArray nameList, string geometry = """");```",,
150883360019972096,hunterzcz,11/03/2021 10:15 AM,just look into object.c in game data,,
150883360019972096,hunterzcz,11/03/2021 10:15 AM,lot of useful stuff there 😛,,
173448803578281984,inkihh,11/03/2021 10:16 AM,"yeah, I was searching the inheritence chain from building",,
150883360019972096,hunterzcz,11/03/2021 10:16 AM,not sure if that returns complete list,,
173448803578281984,inkihh,11/03/2021 10:16 AM,that returns an int,,
150883360019972096,hunterzcz,11/03/2021 10:17 AM,then need continue searching,,
150883360019972096,hunterzcz,11/03/2021 10:17 AM,"Wardog should know, he have unreleased door locking mod",,
185896664110727168,osodirty,11/03/2021 10:43 AM,The apartment mission in survivor missions (namalsk) has a script that closes every door in the apartment. Could have a look there.,,
173448803578281984,inkihh,11/03/2021 11:04 AM,is that part of the namalsk mod?,,
185896664110727168,osodirty,11/03/2021 11:06 AM,No. Survivor missions is the mod. I just threw that in there incase it's a map specific mission. It's probably in the mod though. In the bit that goes in profile folder.,,
173448803578281984,inkihh,11/03/2021 11:13 AM,checking,,
173448803578281984,inkihh,11/03/2021 11:19 AM,SurvivorMissions seems to be obfuscated,,
185896664110727168,osodirty,11/03/2021 11:20 AM,"the missions arent, it was in mpmissions, I was mistaken.",,
185896664110727168,osodirty,11/03/2021 11:20 AM,anyway,,
185896664110727168,osodirty,11/03/2021 11:20 AM,"```            //Close all doors of mission building
            Building Tenement = Building.Cast( MissionBuilding );
            for (int k=0; k < 32; k++ )
            {
                if ( Tenement.IsDoorOpen(k) ) Tenement.CloseDoor(k);
            }```",,
173448803578281984,inkihh,11/03/2021 11:20 AM,"ok, brute forcing 😉",,
637068369262280704,.maiar,11/03/2021 11:29 AM,is there a way to get the day of the week? Some engine function already in game?,,
173448803578281984,inkihh,11/03/2021 11:34 AM,"Ok, this crashes HARD on k=1",,
173448803578281984,inkihh,11/03/2021 11:48 AM,it seems that doors are just numbered from 0..n,,
173448803578281984,inkihh,11/03/2021 11:49 AM,but my server crashes hard when I try IsDoorOpen() or CloseDoor() with a door that doesn't exist,,
150883360019972096,hunterzcz,11/03/2021 11:55 AM,you need get number of doors,,
150883360019972096,hunterzcz,11/03/2021 11:55 AM,maybe way will be get number of door axis from memory lod,,
150883360019972096,hunterzcz,11/03/2021 11:56 AM,idk why is missing that getter... for getting number of ladders is there,,
406572236376637441,kampftedy_07,11/03/2021 11:58 AM,,https://cdn.discordapp.com/attachments/492295576470290433/905410635431571516/unknown.png,
406572236376637441,kampftedy_07,11/03/2021 11:58 AM,any one know if i can that the flames a small kind of higher? 🤔,,
317669341816684555,kaarae,11/03/2021 12:02 PM,"Maybe you can search if something like : ifDoorExist, exist, and then you will be able to not call a method on something that doesn't exist",,
173448803578281984,inkihh,11/03/2021 12:09 PM,"well, for my case it's a specific building that only has one door, so doorindex 0 it is 😉",,
456226577798135808,Deleted User,11/03/2021 12:18 PM,Set a memorypoint in the memory Lod and attach the fire particle to the memorypoint,,
185896664110727168,osodirty,11/03/2021 12:29 PM,"Well damn, if it was 1 door you should've said :P",,😂 (1)
406572236376637441,kampftedy_07,11/03/2021 1:21 PM,oki i will give a try 🙂,,
561680015578759196,wrdg,11/03/2021 2:36 PM,"```cs
int GetDoorCount(Building building)
{
    string path = ""CfgVehicles "" + building.GetType() + "" Doors"";
    return GetGame().ConfigGetChildrenCount(path);
}
```",,
561680015578759196,wrdg,11/03/2021 2:37 PM,fireplaces with hinges also count as doors,,
173448803578281984,inkihh,11/03/2021 2:39 PM,"but GetType only returns House for many buildings, i think",,
561680015578759196,wrdg,11/03/2021 2:41 PM,"all buildings inherit from House, but they have a config type name",,
561680015578759196,wrdg,11/03/2021 2:42 PM,"this has been done in my Locks mod, it works, and has been working for 9 months",,
245298483056214026,yama2k2,11/03/2021 2:51 PM,"since this topics is what i also try to understand, how can i attach a particle effect to a door only when the door opens on a specific model ?",,
245298483056214026,yama2k2,11/03/2021 2:52 PM,attaching the particles via mempoint works fine but i want this to be triggerd once the door opens and this should work also if this object is already in my wrp,,
561680015578759196,wrdg,11/03/2021 2:57 PM,"```cs
modded class ActionOpenDoors
{
    override void OnEndClient(ActionData action_data)
    {
        super.OnEndClient(action_data);

        Building building; // the targed building
        if (!Building.CastTo(building, action_data.m_Target.GetObject()))
            return;


        if (building.GetType() == ""YourSpecialBuildingName"")
        {
            // play your particle at what ever position
            // memory point or world spaced selection position
        }
    }
}
```",,
561680015578759196,wrdg,11/03/2021 2:58 PM,"there's not really an event that gets fired when a door opens, so if someone brute forced the door open via gunfire or melee, or if a mod forces a door open, then this won't work",,
561680015578759196,wrdg,11/03/2021 2:58 PM,this only works if a player opens the door via action,,
245298483056214026,yama2k2,11/03/2021 3:14 PM,"wow, dead simple! many thanks!",,
245298483056214026,yama2k2,11/03/2021 3:25 PM,"and all i need is to create it here `Scripts/4_World/Classes/UserActionsComponent/Actions/ActionOpenDoors.c`
?",,
221987164320301057,docbuddy,11/03/2021 4:26 PM,"is there a way to apply actions to proxys? e.g. I made a custom action for an object and I want this object to be a proxy on a different model, whats the way to still being able to interact with the now proxy object?",,
245298483056214026,yama2k2,11/03/2021 4:31 PM,"should work like your object, the proxy is just another p3d attached to a p3d. keep the config on the proxy object",,
245298483056214026,yama2k2,11/03/2021 4:31 PM,check the gasstation for example,,
221987164320301057,docbuddy,11/03/2021 5:06 PM,but the fuel feeds from the gas station aren´t proxys? at least not according to Eliteness,,
99298225999056896,cashewsan,11/03/2021 7:08 PM,"If I wanted to add an action to `Weapon_Base`, would I just do `modded class Weapon_Base extends Weapon` and then have the override for `SetActions` in it? Or do I need to super it?",,
665471546525220875,Zedmag#7576,11/03/2021 7:36 PM,I would super otherwise you remove all other actions up stream.,,
99298225999056896,cashewsan,11/03/2021 7:42 PM,"so something like this would work?
```
modded class Weapon_Base extends Weapon
{
    override void SetActions()
    {
        super.SetActions();

        AddAction(ActionFlipOverMagnifierOnWeapon); // new action
    }
};
```",,
99298225999056896,cashewsan,11/03/2021 8:37 PM,"So I'm trying to setup an action where an optic on a gun is swapped to another optic when the action is performed. Currently I have this in `OnExecuteServer`, but it swaps the gun instead of the optic, how could I fix that?
```
override void OnExecuteServer( ActionData action_data )
    {
        ReplaceOpticWithNew lambda = new ReplaceOpticWithNew(action_data.m_MainItem, ""RA_MagnifiedHoloOptic"", action_data.m_Player);
        action_data.m_Player.ServerReplaceItemInHandsWithNew(lambda);
    }
```",,
185896664110727168,osodirty,11/03/2021 8:52 PM,"Probably need to get attachment by slot, delete it, then add new attachment.",,
185896664110727168,osodirty,11/03/2021 8:53 PM,"The item in hand is the weapon, so that's going to replace the entire thing with just an optic.",,
637068369262280704,.maiar,11/03/2021 8:55 PM,"```{
                Print(kt)
                vector pos = GetPlayer().GetPosition();
                //vector pos = action_data.m_Player.GetPosition();
                vector posadj = ""0 1 0"";
                pos = pos + posadj
                Print( pos );
                //ItemBase item = ItemBase.Cast(GetPlayer().GetInventory().CreateInInventory(kt));
                ItemBase item = ItemBase.Cast( GetGame().CreateObjectEx(""kt"" , pos , ECE_PLACE_ON_SURFACE) );
                if (!item) 
                {
                    continue;
                }
            }``` i thought this should spawn an item but it will not spawn, any help would be greatly appreciated. Prints show it knows what item to spawn and where to spawn it.",,
665471546525220875,Zedmag#7576,11/03/2021 8:58 PM,Ummm where is ‘kt’ string defined?,,
665471546525220875,Zedmag#7576,11/03/2021 9:00 PM,"in one spot the object is called “kt” but in the other it’s not, it’s a variable",,
637068369262280704,.maiar,11/03/2021 9:01 PM,yes,,
637068369262280704,.maiar,11/03/2021 9:01 PM,updated it above,,
637068369262280704,.maiar,11/03/2021 9:02 PM,it was working to put items in inventory except if inventory was full it would delete them so i decided to put em on ground instead,,
637068369262280704,.maiar,11/03/2021 9:04 PM,omg,,
637068369262280704,.maiar,11/03/2021 9:04 PM,i see what your saying,,
637068369262280704,.maiar,11/03/2021 9:05 PM,wow i cant believe i have been looking at this for this long and thats whats wrong.,,
637068369262280704,.maiar,11/03/2021 9:05 PM,thank you,,🤙 (1)
106867714374569984,dave_p.,11/03/2021 9:44 PM,Started a thread.,,
99298225999056896,cashewsan,11/04/2021 12:46 AM,"so I've got the spawning in the new optic part down, but I can't figure out deleting the existing one currently on it",,
665471546525220875,Zedmag#7576,11/04/2021 12:47 AM,item.Delete(),,
99298225999056896,cashewsan,11/04/2021 12:51 AM,"There's no variable defined ""item"". That's kinda where I'm lost, I know I need to have it get the attachment by slot, and then delete it. So something kinda like:
```
ItemBase optic = ItemBase.Cast(DontKnowWhatGoesHere.FindAttachBySlotName( ""weaponOptics"" ));
        if ( optic )
        {
            optic.Delete()
        }
        else
            return false;
``` I think",,
665471546525220875,Zedmag#7576,11/04/2021 12:53 AM,weapon.FindAttachmentBySlotName,,
99298225999056896,cashewsan,11/04/2021 12:55 AM,"Tried that, but there's no variable 'weapon'",,
99298225999056896,cashewsan,11/04/2021 12:57 AM,"Here's the entirety of my OnExecuteServer

```
override void OnExecuteServer( ActionData action_data )
    {

        action_data.m_MainItem.GetInventory().CreateAttachment( ""UniversalLight"" );

        ItemBase optic = ItemBase.Cast(weapon.FindAttachBySlotName( ""weaponOptics"" ));
        if ( optic )
        {
            optic.Delete()
        }
        else
            return false;
    }
```",,
292234618667663361,kyhbka,11/04/2021 1:21 AM,action.mainitem instead of weapon,,
99298225999056896,cashewsan,11/04/2021 1:26 AM,"so `action_data.m_MainItem`, you mean? If so, doesn't work either",,
292234618667663361,kyhbka,11/04/2021 1:28 AM,Will the flashlight spawn?,,
99298225999056896,cashewsan,11/04/2021 1:29 AM,"Yeah, flashlight spawns on the weapon when the action is performed (flashlight is just placeholder to test until I can delete the other object)",,
292234618667663361,kyhbka,11/04/2021 1:31 AM,Take a screenshot of the function,,
292234618667663361,kyhbka,11/04/2021 1:32 AM,What you sent above won't even be compiled,,
99298225999056896,cashewsan,11/04/2021 1:33 AM,Like a screenshot of the entire script?,,
665471546525220875,Zedmag#7576,11/04/2021 1:33 AM,Sorry I’m as assuming you knew how to define a variable.,,
99298225999056896,cashewsan,11/04/2021 1:34 AM,I barely know anything with scripting lol,,
99298225999056896,cashewsan,11/04/2021 1:34 AM,Basically copy+pasting from existing scripts and piecing it together to make it work,,
292234618667663361,kyhbka,11/04/2021 1:35 AM,Only onexecuteserver,,
185896664110727168,osodirty,11/04/2021 1:35 AM,"Try this.
```    override void OnExecuteServer( ActionData action_data )
    {
        action_data.m_MainItem.GetInventory().CreateAttachment( ""UniversalLight"" );
        Weapon_Base weapon;
        if(CastTo(weapon, action_data.m_MainItem))
        {
            ItemBase optic = ItemBase.Cast(weapon.FindAttachBySlotName( ""weaponOptics"" ));
            if ( optic )
            {
                optic.Delete()
            }
        }
    }```",,
665471546525220875,Zedmag#7576,11/04/2021 1:36 AM,This.,,
665471546525220875,Zedmag#7576,11/04/2021 1:36 AM,Im mobile. Can’t text fast enough haha,,
99298225999056896,cashewsan,11/04/2021 1:38 AM,"Tried that, got this",https://cdn.discordapp.com/attachments/492295576470290433/905617057800925184/Screenshot_334.png,
185896664110727168,osodirty,11/04/2021 1:39 AM,"oh, typo",,
185896664110727168,osodirty,11/04/2021 1:39 AM,`FindAttachmentBySlotName()`,,
185896664110727168,osodirty,11/04/2021 1:39 AM,"Sry, I just c/p and made edits. Missed that.",,
292234618667663361,kyhbka,11/04/2021 1:40 AM,"Change
` find attachment` to `GetAttachedOptics() `",,
185896664110727168,osodirty,11/04/2021 1:41 AM,-.-  I always take the long way around it seems,,
665471546525220875,Zedmag#7576,11/04/2021 1:43 AM,That’s the best way around.,,
99298225999056896,cashewsan,11/04/2021 1:44 AM,"Okay, sick, that works, awesome awesome. 

Minor problem now: I can do it with any optic, how would I limit it to a specific optic? With something in `ActionCondition`?",,
185896664110727168,osodirty,11/04/2021 1:45 AM,"Yes, a few ways to do it there.",,
185896664110727168,osodirty,11/04/2021 1:50 AM,"If I'm not losing my mind, this should limit to only a reflex optic.
```    override bool ActionCondition( PlayerBase player, ActionTarget target, ItemBase item )
    {
        Weapon_Base weapon;
        if(CastTo(weapon, item))
        {
            return weapon.GetAttachedOptics().GetType() == ""ReflexOptic"";
        }
        return false;
    }```",,
185896664110727168,osodirty,11/04/2021 2:55 AM,"@Miitto If you post the full code that's returning the null string, I can have a look at it and try to point you in the right direction.",,
196193658091995136,miitto,11/04/2021 2:55 AM,its from some code trying to add the players name to a listbox ¬,,
196193658091995136,miitto,11/04/2021 2:57 AM,"```cpp
void fillPlayerListBox() {
        GetGame().GetPlayers(m_allPlayers);
        private string playerName;
        private int playerId;
        private int playerHealth;
        private int playerBlood;
        private PlayerBase plr;
        m_PlayerListBox.ClearItems();
        for (int i = 0; i < m_allPlayers.Count(); i++)
        {
            plr = m_allPlayers.Get(i);
            playerId = plr.GetIdentity().GetPlayerId();
            playerName = plr.GetIdentity().GetName();
            m_PlayerListBox.AddItem("" "" + i.ToString() + "": "" + playerName + playerId, new Param1<int>(playerId), 0);
        }
    }
```",,
185896664110727168,osodirty,11/04/2021 2:58 AM,"Well depending on where the code is, you have to get the player in one of a few ways. 
```PlayerBase player;
player.GetIdentity().GetName();```
will return null because player is only declared, not defined.",,
185896664110727168,osodirty,11/04/2021 2:58 AM,"ok, now I have something to go by.",,
196193658091995136,miitto,11/04/2021 2:59 AM,"the listbox entry is "" 0: 0""",,
185896664110727168,osodirty,11/04/2021 2:59 AM,Is this in 5_mission?,,
196193658091995136,miitto,11/04/2021 3:00 AM,yes in the UI extends UIScriptedMenu class,,
